name,category_list,funding_total_usd,status,country_code,city,funding_rounds,first_funding_at,last_funding_at,founded_year,status_class,fail,operating,success
Esoko Networks,Agriculture|Apps|Information Technology|Internet|Mobile|Social Entrepreneurship|Telecommunications,1500000.0,operating,MUS,Ebène,1,2014-05-27,2014-05-27,2006,operating,0,1,0
PlanSource Holdings,Software,94000000.0,operating,USA,Orlando,4,2012-02-01,2015-08-21,2002,operating,0,1,0
Veteran Ventures Angel Network,Finance,,operating,USA,San Francisco,1,2015-03-23,2015-03-23,2012,operating,0,1,0
Hability,Health and Wellness,25000.0,operating,USA,Pittsburgh,2,2013-06-04,2015-04-01,2011,operating,0,1,0
Blink,Electronics,5800000.0,operating,USA,Boston,1,2015-11-16,2015-11-16,2012,operating,0,1,0
Bridgestream,Software,15000000.0,acquired,USA,Redwood Shores,3,2004-02-17,2006-04-05,2000,success,0,0,1
AMP Robotics,Information Technology|Intelligent Systems|Robotics,248250.0,closed,USA,Boulder,2,2015-01-01,2015-05-14,2015,fail,1,0,0
Fluxedo,Incubators|Social Network Media|Startups,68839.0,operating,ITA,Lomazzo,1,2014-01-01,2014-01-01,2014,operating,0,1,0
Bellmetric,Software,,operating,DNK,Copenhagen,1,2013-11-29,2013-11-29,2012,operating,0,1,0
Swoopo,Auctions|E-Commerce|Shopping,14000000.0,closed,USA,Mountain View,2,2006-01-01,2009-04-02,2012,fail,1,0,0
LiveVox,Web Hosting,12100000.0,operating,USA,San Francisco,2,2007-06-19,2008-01-28,1999,operating,0,1,0
Xtium,Cloud Management|Enterprise Software,15500000.0,operating,USA,King Of Prussia,3,2011-09-23,2013-10-09,2004,operating,0,1,0
PiAuto,Automotive,250000.0,closed,USA,Albuquerque,1,2011-09-01,2011-09-01,2011,fail,1,0,0
dooub,Android|Games|iOS|Music|SNS|Social Network Media,887303.0,operating,KOR,Seoul,1,2012-01-26,2012-01-26,2011,operating,0,1,0
ParLevel Systems,B2B|Enterprise Software|Finance|Hardware|SaaS|Software,5906514.0,operating,USA,San Antonio,7,2012-10-10,2015-11-23,2012,operating,0,1,0
Promotion In Motion,Food Processing,3000000.0,operating,USA,Allendale,1,2008-03-28,2008-03-28,1979,operating,0,1,0
Offset Options,Carbon|Clean Technology,,operating,ESP,Barcelona,1,2010-09-16,2010-09-16,2012,operating,0,1,0
SynapCell,Biotechnology,4430000.0,operating,FRA,Grenoble,1,2009-03-06,2009-03-06,2005,operating,0,1,0
SOLEM Electronique,Hardware + Software,5460000.0,operating,FRA,Clapiers,1,2008-12-02,2008-12-02,1984,operating,0,1,0
InfoNow,Software,25661688.0,operating,USA,San Francisco,7,2007-10-18,2013-02-19,2012,operating,0,1,0
